scale,site_id,plant,roi_id,roi_type,primary_roi_id,ndvi,date
4,P9,grass,1,primary,NA,0.10692590475082397,2019-04-18
4,P9,grass,2,primary,NA,0.14411647617816925,2019-04-18
4,P9,grass,3,primary,NA,0.13536423444747925,2019-04-18
4,P9,grass,4,primary,NA,0.11626804620027542,2019-04-18
4,P9,grass,5,primary,NA,0.13592922687530518,2019-04-18
4,P9,grass,6,primary,NA,0.11658696085214615,2019-04-18
4,P9,grass,7,primary,NA,0.14399228990077972,2019-04-18
4,P9,grass,8,primary,NA,0.12171793729066849,2019-04-18
4,P9,grass,9,primary,NA,0.1346767246723175,2019-04-18
4,P9,grass,10,primary,NA,0.1431943029165268,2019-04-18
4,P9,grass,11,primary,NA,0.10214810818433762,2019-04-18
4,P9,grass,12,primary,NA,0.13099399209022522,2019-04-18
4,P9,grass,13,primary,NA,0.13624832034111023,2019-04-18
4,P9,grass,14,primary,NA,0.15658777952194214,2019-04-18
4,P9,grass,15,primary,NA,0.1365736722946167,2019-04-18
4,P9,grass,16,primary,NA,0.129920095205307,2019-04-18
4,P9,grass,17,primary,NA,0.15007318556308746,2019-04-18
4,P9,grass,18,primary,NA,0.11892934888601303,2019-04-18
4,P9,grass,19,primary,NA,0.11408563703298569,2019-04-18
4,P9,grass,20,primary,NA,0.1626996397972107,2019-04-18
4,P9,grass,21,primary,NA,0.132492333650589,2019-04-18
4,P9,grass,22,primary,NA,0.1207013949751854,2019-04-18
4,P9,grass,23,primary,NA,0.11732180416584015,2019-04-18
4,P9,grass,24,primary,NA,0.12359581142663956,2019-04-18
4,P9,grass,25,primary,NA,0.1515418142080307,2019-04-18
4,P9,grass,26,primary,NA,0.11690264940261841,2019-04-18
4,P9,grass,27,primary,NA,0.1267581433057785,2019-04-18
4,P9,grass,28,primary,NA,0.15124207735061646,2019-04-18
4,P9,grass,29,primary,NA,0.12221480160951614,2019-04-18
4,P9,grass,30,primary,NA,0.13161054253578186,2019-04-18
4,P9,grass,31,primary,NA,0.1347493678331375,2019-04-18
4,P9,grass,32,primary,NA,0.132661372423172,2019-04-18
4,P9,grass,33,primary,NA,0.14485885202884674,2019-04-18
4,P9,grass,34,primary,NA,0.15480203926563263,2019-04-18
4,P9,grass,35,primary,NA,0.1376107782125473,2019-04-18
4,P9,grass,36,primary,NA,0.12288519740104675,2019-04-18
4,P9,grass,37,primary,NA,0.12766918540000916,2019-04-18
4,P9,grass,38,primary,NA,0.12671448290348053,2019-04-18
4,P9,grass,39,primary,NA,0.12940163910388947,2019-04-18
4,P9,grass,40,primary,NA,0.1474209874868393,2019-04-18
2,P9,mesquite,41,primary,NA,0.2661592364311218,2019-04-18
2,P9,mesquite,42,primary,NA,0.26409536600112915,2019-04-18
2,P9,mesquite,43,primary,NA,0.2184351682662964,2019-04-18
2,P9,mesquite,44,primary,NA,0.2530919909477234,2019-04-18
2,P9,mesquite,45,primary,NA,0.20544305443763733,2019-04-18
2,P9,mesquite,46,primary,NA,0.25095847249031067,2019-04-18
2,P9,mesquite,47,primary,NA,0.25285735726356506,2019-04-18
2,P9,mesquite,48,primary,NA,0.22096961736679077,2019-04-18
2,P9,mesquite,49,primary,NA,0.21815180778503418,2019-04-18
2,P9,mesquite,50,primary,NA,0.20381051301956177,2019-04-18
2,P9,mesquite,51,primary,NA,0.196793794631958,2019-04-18
2,P9,mesquite,52,primary,NA,0.1981818974018097,2019-04-18
2,P9,mesquite,53,primary,NA,0.2144664078950882,2019-04-18
2,P9,mesquite,54,primary,NA,0.22065657377243042,2019-04-18
2,P9,mesquite,55,primary,NA,0.1947716474533081,2019-04-18
2,P9,mesquite,56,primary,NA,0.22960761189460754,2019-04-18
2,P9,mesquite,57,primary,NA,0.22763808071613312,2019-04-18
2,P9,mesquite,58,primary,NA,0.24230164289474487,2019-04-18
2,P9,mesquite,59,primary,NA,0.21240995824337006,2019-04-18
2,P9,mesquite,60,primary,NA,0.19920499622821808,2019-04-18
2,P9,mesquite,61,primary,NA,0.24907220900058746,2019-04-18
2,P9,mesquite,62,primary,NA,0.2751171588897705,2019-04-18
2,P9,mesquite,63,primary,NA,0.2626117765903473,2019-04-18
2,P9,mesquite,64,primary,NA,0.20784175395965576,2019-04-18
2,P9,mesquite,65,primary,NA,0.2529378831386566,2019-04-18
2,P9,mesquite,66,primary,NA,0.19751547276973724,2019-04-18
2,P9,mesquite,67,primary,NA,0.21944698691368103,2019-04-18
2,P9,mesquite,68,primary,NA,0.24088867008686066,2019-04-18
2,P9,mesquite,69,primary,NA,0.20768049359321594,2019-04-18
2,P9,mesquite,70,primary,NA,0.2097916454076767,2019-04-18
2,P9,mesquite,71,primary,NA,0.24199849367141724,2019-04-18
2,P9,mesquite,72,primary,NA,0.21021616458892822,2019-04-18
2,P9,mesquite,73,primary,NA,0.21794086694717407,2019-04-18
2,P9,mesquite,74,primary,NA,0.2563214898109436,2019-04-18
2,P9,mesquite,75,primary,NA,0.22228559851646423,2019-04-18
2,P9,mesquite,76,primary,NA,0.3988089859485626,2019-04-18
2,P9,mesquite,77,primary,NA,0.2715967297554016,2019-04-18
2,P9,mesquite,78,primary,NA,0.23154118657112122,2019-04-18
2,P9,mesquite,79,primary,NA,0.21308591961860657,2019-04-18
2,P9,mesquite,80,primary,NA,0.24472646415233612,2019-04-18
2,P9,mesquite,81,primary,NA,0.2072635293006897,2019-04-18
2,P9,mesquite,82,primary,NA,0.30240580439567566,2019-04-18
2,P9,mesquite,83,primary,NA,0.2272474616765976,2019-04-18
2,P9,mesquite,84,primary,NA,0.27608734369277954,2019-04-18
2,P9,mesquite,85,primary,NA,0.2132180780172348,2019-04-18
2,P9,mesquite,86,primary,NA,0.2832808792591095,2019-04-18
2,P9,mesquite,87,primary,NA,0.22733370959758759,2019-04-18
2,P9,mesquite,88,primary,NA,0.2016710489988327,2019-04-18
2,P9,mesquite,89,primary,NA,0.32995566725730896,2019-04-18
2,P9,mesquite,90,primary,NA,0.20704524219036102,2019-04-18
30,P9,none,91,primary,NA,0.14025245606899261,2019-04-18
30,P9,none,92,primary,NA,0.13792891800403595,2019-04-18
30,P9,none,93,primary,NA,0.1405719518661499,2019-04-18
30,P9,none,94,primary,NA,0.14483404159545898,2019-04-18
30,P9,none,95,primary,NA,0.14498887956142426,2019-04-18
30,P9,none,96,primary,NA,0.14481040835380554,2019-04-18
30,P9,none,97,primary,NA,0.13997693359851837,2019-04-18
30,P9,none,98,primary,NA,0.13402771949768066,2019-04-18
30,P9,none,99,primary,NA,0.13354745507240295,2019-04-18
30,P9,none,100,primary,NA,0.14160212874412537,2019-04-18
0.5,P9,grass,1-0.5-1,subset,1,0.09534069895744324,2019-04-18
0.5,P9,grass,1-0.5-2,subset,1,0.11614826321601868,2019-04-18
0.5,P9,grass,1-0.5-3,subset,1,0.13591113686561584,2019-04-18
0.5,P9,grass,1-0.5-4,subset,1,0.13050539791584015,2019-04-18
0.5,P9,grass,1-0.5-5,subset,1,0.08487957715988159,2019-04-18
0.5,P9,grass,1-0.5-6,subset,1,0.09009864926338196,2019-04-18
0.5,P9,grass,1-0.5-7,subset,1,0.1132788211107254,2019-04-18
0.5,P9,grass,1-0.5-8,subset,1,0.1109386533498764,2019-04-18
1,P9,grass,1-1-1,subset,1,0.11739537864923477,2019-04-18
1,P9,grass,1-1-2,subset,1,0.10552062839269638,2019-04-18
1,P9,grass,1-1-3,subset,1,0.11766039580106735,2019-04-18
1,P9,grass,1-1-4,subset,1,0.11425123363733292,2019-04-18
2,P9,grass,1-2-1,subset,1,0.11526628583669662,2019-04-18
2,P9,grass,1-2-2,subset,1,0.10730919241905212,2019-04-18
2,P9,grass,1-2-3,subset,1,0.11631971597671509,2019-04-18
0.5,P9,grass,2-0.5-1,subset,2,0.13666416704654694,2019-04-18
0.5,P9,grass,2-0.5-2,subset,2,0.14746513962745667,2019-04-18
0.5,P9,grass,2-0.5-3,subset,2,0.15061403810977936,2019-04-18
0.5,P9,grass,2-0.5-4,subset,2,0.16868634521961212,2019-04-18
0.5,P9,grass,2-0.5-5,subset,2,0.13974043726921082,2019-04-18
0.5,P9,grass,2-0.5-6,subset,2,0.16435571014881134,2019-04-18
0.5,P9,grass,2-0.5-7,subset,2,0.17126749455928802,2019-04-18
0.5,P9,grass,2-0.5-8,subset,2,0.15932697057724,2019-04-18
1,P9,grass,2-1-1,subset,2,0.1496003121137619,2019-04-18
1,P9,grass,2-1-2,subset,2,0.1482039988040924,2019-04-18
1,P9,grass,2-1-3,subset,2,0.16600628197193146,2019-04-18
1,P9,grass,2-1-4,subset,2,0.13920024037361145,2019-04-18
2,P9,grass,2-2-1,subset,2,0.14665794372558594,2019-04-18
2,P9,grass,2-2-2,subset,2,0.14920620620250702,2019-04-18
2,P9,grass,2-2-3,subset,2,0.1469690203666687,2019-04-18
0.5,P9,grass,3-0.5-1,subset,3,0.20482024550437927,2019-04-18
0.5,P9,grass,3-0.5-2,subset,3,0.1439441442489624,2019-04-18
0.5,P9,grass,3-0.5-3,subset,3,0.13389988243579865,2019-04-18
0.5,P9,grass,3-0.5-4,subset,3,0.14562784135341644,2019-04-18
0.5,P9,grass,3-0.5-5,subset,3,0.14002977311611176,2019-04-18
0.5,P9,grass,3-0.5-6,subset,3,0.10442237555980682,2019-04-18
0.5,P9,grass,3-0.5-7,subset,3,0.12433997541666031,2019-04-18
0.5,P9,grass,3-0.5-8,subset,3,0.16252663731575012,2019-04-18
1,P9,grass,3-1-1,subset,3,0.1294301301240921,2019-04-18
1,P9,grass,3-1-2,subset,3,0.12644557654857635,2019-04-18
1,P9,grass,3-1-3,subset,3,0.13156716525554657,2019-04-18
1,P9,grass,3-1-4,subset,3,0.13403451442718506,2019-04-18
2,P9,grass,3-2-1,subset,3,0.1402168720960617,2019-04-18
2,P9,grass,3-2-2,subset,3,0.12733978033065796,2019-04-18
2,P9,grass,3-2-3,subset,3,0.1400943100452423,2019-04-18
0.5,P9,grass,4-0.5-1,subset,4,0.1277342289686203,2019-04-18
0.5,P9,grass,4-0.5-2,subset,4,0.10606395453214645,2019-04-18
0.5,P9,grass,4-0.5-3,subset,4,0.12153089046478271,2019-04-18
0.5,P9,grass,4-0.5-4,subset,4,0.11396466940641403,2019-04-18
0.5,P9,grass,4-0.5-5,subset,4,0.10022299736738205,2019-04-18
0.5,P9,grass,4-0.5-6,subset,4,0.12382704764604568,2019-04-18
0.5,P9,grass,4-0.5-7,subset,4,0.11954887211322784,2019-04-18
0.5,P9,grass,4-0.5-8,subset,4,0.12258773297071457,2019-04-18
1,P9,grass,4-1-1,subset,4,0.11700254678726196,2019-04-18
1,P9,grass,4-1-2,subset,4,0.11204473674297333,2019-04-18
1,P9,grass,4-1-3,subset,4,0.10874231904745102,2019-04-18
1,P9,grass,4-1-4,subset,4,0.10506739467382431,2019-04-18
2,P9,grass,4-2-1,subset,4,0.11740874499082565,2019-04-18
2,P9,grass,4-2-2,subset,4,0.11889053881168365,2019-04-18
2,P9,grass,4-2-3,subset,4,0.11195959150791168,2019-04-18
0.5,P9,grass,5-0.5-1,subset,5,0.13720747828483582,2019-04-18
0.5,P9,grass,5-0.5-2,subset,5,0.15947970747947693,2019-04-18
0.5,P9,grass,5-0.5-3,subset,5,0.16137273609638214,2019-04-18
0.5,P9,grass,5-0.5-4,subset,5,0.12257923930883408,2019-04-18
0.5,P9,grass,5-0.5-5,subset,5,0.1301030069589615,2019-04-18
0.5,P9,grass,5-0.5-6,subset,5,0.15262944996356964,2019-04-18
0.5,P9,grass,5-0.5-7,subset,5,0.14773188531398773,2019-04-18
0.5,P9,grass,5-0.5-8,subset,5,0.1098601445555687,2019-04-18
1,P9,grass,5-1-1,subset,5,0.15901456773281097,2019-04-18
1,P9,grass,5-1-2,subset,5,0.15585224330425262,2019-04-18
1,P9,grass,5-1-3,subset,5,0.13659484684467316,2019-04-18
1,P9,grass,5-1-4,subset,5,0.13477452099323273,2019-04-18
2,P9,grass,5-2-1,subset,5,0.1434253752231598,2019-04-18
2,P9,grass,5-2-2,subset,5,0.14101003110408783,2019-04-18
2,P9,grass,5-2-3,subset,5,0.14458291232585907,2019-04-18
0.5,P9,grass,6-0.5-1,subset,6,0.10782473534345627,2019-04-18
0.5,P9,grass,6-0.5-2,subset,6,0.10927487909793854,2019-04-18
0.5,P9,grass,6-0.5-3,subset,6,0.09542541950941086,2019-04-18
0.5,P9,grass,6-0.5-4,subset,6,0.08899769932031631,2019-04-18
0.5,P9,grass,6-0.5-5,subset,6,0.09467639029026031,2019-04-18
0.5,P9,grass,6-0.5-6,subset,6,0.10877412557601929,2019-04-18
0.5,P9,grass,6-0.5-7,subset,6,0.09054749459028244,2019-04-18
0.5,P9,grass,6-0.5-8,subset,6,0.09801136702299118,2019-04-18
1,P9,grass,6-1-1,subset,6,0.13181984424591064,2019-04-18
1,P9,grass,6-1-2,subset,6,0.09259017556905746,2019-04-18
1,P9,grass,6-1-3,subset,6,0.11154396831989288,2019-04-18
1,P9,grass,6-1-4,subset,6,0.09638363867998123,2019-04-18
2,P9,grass,6-2-1,subset,6,0.10672694444656372,2019-04-18
2,P9,grass,6-2-2,subset,6,0.11949894577264786,2019-04-18
