plant_id,date,notes_flag,photo_flag,site_code,spp_code,func_grp_code,doy,year,phenophase,status,percent_cover
NOPRGL01,2019-01-04,0,1,NO,PRGL,DS,4,2019,DS_202,0,0
NOPRGL01,2019-01-11,0,1,NO,PRGL,DS,11,2019,DS_202,1,2.5
NOPRGL01,2019-01-25,0,1,NO,PRGL,DS,25,2019,DS_202,0,0
NOPRGL01,2019-01-29,0,1,NO,PRGL,DS,29,2019,DS_202,0,0
NOPRGL01,2019-02-05,0,1,NO,PRGL,DS,36,2019,DS_202,0,0
NOPRGL01,2019-02-12,0,1,NO,PRGL,DS,43,2019,DS_202,0,0
NOPRGL01,2019-02-19,0,1,NO,PRGL,DS,50,2019,DS_202,0,0
NOPRGL01,2019-02-26,0,1,NO,PRGL,DS,57,2019,DS_202,0,0
NOPRGL01,2019-03-05,0,1,NO,PRGL,DS,64,2019,DS_202,0,0
NOPRGL01,2019-03-14,0,1,NO,PRGL,DS,73,2019,DS_202,0,0
NOPRGL01,2019-03-19,0,1,NO,PRGL,DS,78,2019,DS_202,0,0
NOPRGL01,2019-03-26,0,0,NO,PRGL,DS,85,2019,DS_202,0,0
NOPRGL01,2019-04-02,0,1,NO,PRGL,DS,92,2019,DS_202,0,0
NOPRGL01,2019-04-09,0,1,NO,PRGL,DS,99,2019,DS_202,1,2.5
NOPRGL01,2019-04-16,0,1,NO,PRGL,DS,106,2019,DS_202,2,14.5
NOPRGL01,2019-04-23,0,1,NO,PRGL,DS,113,2019,DS_202,3,37
NOPRGL01,2019-04-30,0,1,NO,PRGL,DS,120,2019,DS_202,3,37
NOPRGL01,2019-05-07,0,1,NO,PRGL,DS,127,2019,DS_202,4,57
NOPRGL01,2019-05-14,0,0,NO,PRGL,DS,134,2019,DS_202,4,57
NOPRGL01,2019-05-21,0,1,NO,PRGL,DS,141,2019,DS_202,5,84
NOPRGL01,2019-05-30,0,1,NO,PRGL,DS,150,2019,DS_202,5,84
NOPRGL01,2019-06-04,0,1,NO,PRGL,DS,155,2019,DS_202,5,84
NOPRGL01,2019-06-11,0,1,NO,PRGL,DS,162,2019,DS_202,5,84
NOPRGL01,2019-06-18,0,1,NO,PRGL,DS,169,2019,DS_202,5,84
NOPRGL01,2019-06-25,0,1,NO,PRGL,DS,176,2019,DS_202,4,57
NOPRGL01,2019-07-02,0,1,NO,PRGL,DS,183,2019,DS_202,5,84
NOPRGL01,2019-07-09,0,1,NO,PRGL,DS,190,2019,DS_202,6,97.5
NOPRGL01,2019-07-16,0,1,NO,PRGL,DS,197,2019,DS_202,5,84
NOPRGL01,2019-07-23,0,1,NO,PRGL,DS,204,2019,DS_202,5,84
NOPRGL01,2019-07-30,0,1,NO,PRGL,DS,211,2019,DS_202,4,57
NOPRGL01,2019-08-06,0,1,NO,PRGL,DS,218,2019,DS_202,5,84
NOPRGL01,2019-08-13,0,1,NO,PRGL,DS,225,2019,DS_202,5,84
NOPRGL01,2019-08-20,0,1,NO,PRGL,DS,232,2019,DS_202,6,97.5
NOPRGL01,2019-08-27,0,1,NO,PRGL,DS,239,2019,DS_202,6,97.5
NOPRGL01,2019-09-04,0,1,NO,PRGL,DS,247,2019,DS_202,6,97.5
NOPRGL01,2019-09-09,0,1,NO,PRGL,DS,252,2019,DS_202,6,97.5
NOPRGL01,2019-09-18,0,0,NO,PRGL,DS,261,2019,DS_202,6,97.5
NOPRGL01,2019-09-24,0,1,NO,PRGL,DS,267,2019,DS_202,6,97.5
NOPRGL01,2019-10-01,0,1,NO,PRGL,DS,274,2019,DS_202,5,84
NOPRGL01,2019-10-10,0,1,NO,PRGL,DS,283,2019,DS_202,5,84
NOPRGL01,2019-10-15,0,1,NO,PRGL,DS,288,2019,DS_202,5,84
NOPRGL01,2019-10-22,0,1,NO,PRGL,DS,295,2019,DS_202,5,84
NOPRGL01,2019-10-29,0,1,NO,PRGL,DS,302,2019,DS_202,5,84
NOPRGL01,2019-11-05,0,1,NO,PRGL,DS,309,2019,DS_202,4,57
NOPRGL01,2019-11-12,0,0,NO,PRGL,DS,316,2019,DS_202,3,37
NOPRGL01,2019-11-19,0,0,NO,PRGL,DS,323,2019,DS_202,2,14.5
NOPRGL01,2019-11-26,0,1,NO,PRGL,DS,330,2019,DS_202,2,14.5
NOPRGL01,2019-12-03,0,1,NO,PRGL,DS,337,2019,DS_202,2,14.5
NOPRGL01,2019-12-10,0,1,NO,PRGL,DS,344,2019,DS_202,1,2.5
NOPRGL01,2019-12-17,0,1,NO,PRGL,DS,351,2019,DS_202,1,2.5
NOPRGL01,2019-12-23,0,1,NO,PRGL,DS,357,2019,DS_202,1,2.5
NOPRGL02,2019-01-04,0,1,NO,PRGL,DS,4,2019,DS_202,0,0
NOPRGL02,2019-01-11,0,1,NO,PRGL,DS,11,2019,DS_202,0,0
NOPRGL02,2019-01-25,0,1,NO,PRGL,DS,25,2019,DS_202,0,0
NOPRGL02,2019-01-29,0,1,NO,PRGL,DS,29,2019,DS_202,0,0
NOPRGL02,2019-02-05,0,1,NO,PRGL,DS,36,2019,DS_202,0,0
NOPRGL02,2019-02-12,0,1,NO,PRGL,DS,43,2019,DS_202,0,0
NOPRGL02,2019-02-19,0,1,NO,PRGL,DS,50,2019,DS_202,0,0
NOPRGL02,2019-02-26,0,1,NO,PRGL,DS,57,2019,DS_202,0,0
NOPRGL02,2019-03-05,0,1,NO,PRGL,DS,64,2019,DS_202,0,0
NOPRGL02,2019-03-14,0,1,NO,PRGL,DS,73,2019,DS_202,0,0
NOPRGL02,2019-03-19,0,1,NO,PRGL,DS,78,2019,DS_202,0,0
NOPRGL02,2019-03-26,0,0,NO,PRGL,DS,85,2019,DS_202,0,0
NOPRGL02,2019-04-02,0,1,NO,PRGL,DS,92,2019,DS_202,0,0
NOPRGL02,2019-04-09,0,1,NO,PRGL,DS,99,2019,DS_202,1,2.5
NOPRGL02,2019-04-16,0,1,NO,PRGL,DS,106,2019,DS_202,2,14.5
NOPRGL02,2019-04-23,0,1,NO,PRGL,DS,113,2019,DS_202,4,57
NOPRGL02,2019-04-30,0,1,NO,PRGL,DS,120,2019,DS_202,3,37
NOPRGL02,2019-05-07,0,1,NO,PRGL,DS,127,2019,DS_202,4,57
NOPRGL02,2019-05-14,0,0,NO,PRGL,DS,134,2019,DS_202,4,57
NOPRGL02,2019-05-21,0,1,NO,PRGL,DS,141,2019,DS_202,5,84
NOPRGL02,2019-05-30,0,1,NO,PRGL,DS,150,2019,DS_202,5,84
NOPRGL02,2019-06-04,0,1,NO,PRGL,DS,155,2019,DS_202,5,84
NOPRGL02,2019-06-11,0,1,NO,PRGL,DS,162,2019,DS_202,5,84
NOPRGL02,2019-06-18,0,1,NO,PRGL,DS,169,2019,DS_202,4,57
NOPRGL02,2019-06-25,0,1,NO,PRGL,DS,176,2019,DS_202,4,57
