roi_id,site_id,soil,mesquite,pixel_size
r-1,NORT,0.909,0.091,1
r-2,NORT,1,0,1
r-3,NORT,1,0,1
r-4,NORT,0.521,0.479,1
r-5,NORT,1,0,1
r-6,NORT,0,1,1
r-7,NORT,0.116,0.884,1
r-8,NORT,1,0,1
r-9,NORT,1,0,1
r-10,NORT,1,0,1
r-11,NORT,0.264,0.736,1
r-12,NORT,0.826,0.174,1
r-13,NORT,1,0,1
r-14,NORT,0.537,0.463,1
r-15,NORT,0.083,0.917,1
r-16,NORT,1,0,1
r-17,NORT,0.926,0.074,1
r-18,NORT,1,0,1
r-19,NORT,1,0,1
r-20,NORT,0,1,1
r-21,NORT,0,1,1
r-22,NORT,1,0,1
r-23,NORT,1,0,1
r-24,NORT,1,0,1
r-25,NORT,0.182,0.818,1
r-26,NORT,1,0,1
r-27,NORT,0.86,0.14,1
r-28,NORT,1,0,1
r-29,NORT,1,0,1
r-30,NORT,0,1,1
r-31,NORT,1,0,1
r-32,NORT,1,0,1
r-33,NORT,1,0,1
r-34,NORT,0,1,1
r-35,NORT,0.388,0.612,1
r-36,NORT,1,0,1
r-37,NORT,0.388,0.612,1
r-38,NORT,0.364,0.636,1
r-39,NORT,1,0,1
r-40,NORT,1,0,1
r-41,NORT,0,1,1
r-42,NORT,0.413,0.587,1
r-43,NORT,1,0,1
r-44,NORT,0,1,1
r-45,NORT,1,0,1
r-46,NORT,0.645,0.355,1
r-47,NORT,0,1,1
r-48,NORT,1,0,1
r-49,NORT,1,0,1
r-50,NORT,1,0,1
r-51,NORT,1,0,1
r-52,NORT,0.008,0.992,1
r-53,NORT,1,0,1
r-54,NORT,1,0,1
r-55,NORT,1,0,1
r-56,NORT,1,0,1
r-57,NORT,1,0,1
r-58,NORT,1,0,1
r-59,NORT,1,0,1
r-60,NORT,1,0,1
r-61,NORT,1,0,1
r-62,NORT,0,1,1
r-63,NORT,0,1,1
r-64,NORT,0.686,0.314,1
r-65,NORT,0.736,0.264,1
r-66,NORT,1,0,1
r-67,NORT,1,0,1
r-68,NORT,0.05,0.95,1
r-69,NORT,1,0,1
r-70,NORT,0,1,1
r-71,NORT,1,0,1
r-72,NORT,0.372,0.628,1
r-73,NORT,0,1,1
r-74,NORT,1,0,1
r-75,NORT,0,1,1
r-76,NORT,1,0,1
r-77,NORT,0.132,0.868,1
r-78,NORT,1,0,1
r-79,NORT,1,0,1
r-80,NORT,0,1,1
r-81,NORT,1,0,1
r-82,NORT,0,1,1
r-83,NORT,0,1,1
r-84,NORT,0.909,0.091,1
r-85,NORT,1,0,1
r-86,NORT,0.901,0.099,1
r-87,NORT,0.752,0.248,1
r-88,NORT,0.983,0.017,1
r-89,NORT,0.851,0.149,1
r-90,NORT,1,0,1
r-91,NORT,1,0,1
r-92,NORT,0,1,1
r-93,NORT,0.537,0.463,1
r-94,NORT,0.008,0.992,1
r-95,NORT,1,0,1
r-96,NORT,0,1,1
r-97,NORT,0.678,0.322,1
r-98,NORT,1,0,1
r-99,NORT,0,1,1
r-100,NORT,0,1,1
r-101,NORT,0.975,0.025,1
r-102,NORT,1,0,1
r-103,NORT,1,0,1
r-104,NORT,0.57,0.43,1
r-105,NORT,0,1,1
r-106,NORT,1,0,1
r-107,NORT,0.521,0.479,1
r-108,NORT,1,0,1
r-109,NORT,0,1,1
r-110,NORT,1,0,1
r-111,NORT,1,0,1
r-112,NORT,1,0,1
r-113,NORT,0,1,1
r-114,NORT,1,0,1
r-115,NORT,1,0,1
r-116,NORT,1,0,1
r-117,NORT,0.149,0.851,1
r-118,NORT,1,0,1
r-119,NORT,0.826,0.174,1
r-120,NORT,1,0,1
r-121,NORT,0.636,0.364,1
r-122,NORT,1,0,1
r-123,NORT,1,0,1
r-124,NORT,0.14,0.86,1
r-125,NORT,1,0,1
r-126,NORT,1,0,1
r-127,NORT,0.967,0.033,1
r-128,NORT,1,0,1
r-129,NORT,0,1,1
r-130,NORT,1,0,1
r-131,NORT,1,0,1
r-132,NORT,0,1,1
r-133,NORT,0.975,0.025,1
r-134,NORT,1,0,1
r-135,NORT,1,0,1
r-136,NORT,0.702,0.298,1
r-137,NORT,0,1,1
r-138,NORT,1,0,1
r-139,NORT,1,0,1
r-140,NORT,1,0,1
r-141,NORT,1,0,1
r-142,NORT,0,1,1
r-143,NORT,0.322,0.678,1
r-144,NORT,1,0,1
r-145,NORT,1,0,1
r-146,NORT,1,0,1
r-147,NORT,1,0,1
r-148,NORT,1,0,1
r-149,NORT,0.719,0.281,1
r-150,NORT,0,1,1
r-151,NORT,1,0,1
r-152,NORT,0,1,1
r-153,NORT,1,0,1
r-154,NORT,1,0,1
r-155,NORT,0.521,0.479,1
r-156,NORT,0.793,0.207,1
r-157,NORT,0.694,0.306,1
r-158,NORT,1,0,1
r-159,NORT,1,0,1
r-160,NORT,0.562,0.438,1
r-161,NORT,1,0,1
r-162,NORT,0,1,1
r-163,NORT,0,1,1
r-164,NORT,0,1,1
r-165,NORT,0,1,1
